Number of clusters at this level 525
SIZE = 1  [2d, ] 
SIZE = 1  [3d, ] 
SIZE = 1  [actions, ] 
SIZE = 1  [activitypub, ] 
SIZE = 1  [ada, ] 
SIZE = 1  [advent-of-code, ] 
SIZE = 1  [agile, ] 
SIZE = 1  [ai, ] 
SIZE = 1  [ajax, ] 
SIZE = 1  [algolia, ] 
SIZE = 1  [algorithm, ] 
SIZE = 1  [altium-designer, ] 
SIZE = 1  [amazon, ] 
SIZE = 1  [amphp, ] 
SIZE = 1  [android, ] 
SIZE = 1  [angular, ] 
SIZE = 1  [anidb, ] 
SIZE = 1  [animal-crossing, ] 
SIZE = 1  [animation, ] 
SIZE = 1  [anki, ] 
SIZE = 1  [ansible, ] 
SIZE = 1  [antlr, ] 
SIZE = 1  [apache-license, ] 
SIZE = 1  [api, ] 
SIZE = 1  [apm, ] 
SIZE = 1  [apple, ] 
SIZE = 1  [archlinux, ] 
SIZE = 1  [arduino, ] 
SIZE = 1  [asgi, ] 
SIZE = 1  [aspnet, ] 
SIZE = 1  [assemblyscript, ] 
SIZE = 1  [atom, ] 
SIZE = 1  [aurelia, ] 
SIZE = 1  [auth0, ] 
SIZE = 1  [avalonia, ] 
SIZE = 1  [awesome, ] 
SIZE = 1  [awesomewm, ] 
SIZE = 1  [aws, ] 
SIZE = 1  [azure, ] 
SIZE = 1  [babel, ] 
SIZE = 1  [backbonejs, ] 
SIZE = 1  [backend, ] 
SIZE = 1  [bash, ] 
SIZE = 1  [basic8, ] 
SIZE = 1  [bioinformatics, ] 
SIZE = 1  [biological-expression-language, ] 
SIZE = 1  [bitcoin, ] 
SIZE = 1  [bitcoin-cash, ] 
SIZE = 1  [blockchain, ] 
SIZE = 1  [blocker, ] 
SIZE = 1  [boilerplate, ] 
SIZE = 1  [bootstrap, ] 
SIZE = 1  [bosque, ] 
SIZE = 1  [bot, ] 
SIZE = 1  [bridgetown, ] 
SIZE = 1  [bsd-license, ] 
SIZE = 1  [bugbounty, ] 
SIZE = 1  [bulma, ] 
