lhs,relationship,rhs
2d,is-a,field
2d,is-used-in-field,graphics
3d,is-a,field
3d,is-used-in-field,graphics
3d,provides-functionality,3d-printing
3d,provides-functionality,game
3d,provides-functionality,virtual-reality
actions,is-a,tool
actions,is-used-in-field,software-development-process
actions,provides-functionality,automation
actions,provides-functionality,cicd
activitypub,is-a,protocol
activitypub,is-focused-on,decentralization
activitypub,is-used-in-field,social-network
activitypub,provides-functionality,client-server-api
activitypub,provides-functionality,communication
ada,is-a,programming-language
advent-of-code,is-a,event
agile,is-focused-on,flexibility
agile,is-focused-on,speed
agile,is-used-in-field,software-development-process
agile,provides-functionality,project-management
ai,is-a,field
ai,is-used-in-field,scientific
ajax,is-a,standard
ajax,is-a,tool
ajax,is-used-in-field,mobile
ajax,is-used-in-field,web-development
ajax,provides-functionality,dynamic
ajax,provides-functionality,web-page
ajax,works-with,html
ajax,works-with,javascript
ajax,works-with,json
ajax,works-with,xml
algolia,is-a,api
algolia,is-a,saas
algolia,is-a,search-engine
algolia,is-used-in-field,mobile
algolia,is-used-in-field,web-development
algolia,provides-functionality,information-retrieval
algolia,provides-functionality,search
algolia,works-with,cpp
algorithm,is-a,cs-basics
algorithm,is-used-in-field,education
algorithm,is-used-in-field,mathematics
algorithm,works-with,data-structures
algorithm,works-with,flowchart
algorithm,works-with,python
altium-designer,is-a,software
altium-designer,is-used-in-field,electronics
altium-designer,provides-functionality,design
amazon,is-a,company
amazon,is-focused-on,cloud-computing
amazon,is-focused-on,ecommerce
amazon,provides-product,aws
amphp,is-a,framework
amphp,is-used-in-field,web-development
amphp,provides-functionality,concurrency
amphp,provides-functionality,event-driven
amphp,works-with,php
android,is-a,operating-system
android,is-a,platform
android,is-used-in-field,mobile
android,works-with,c
android,works-with,cpp
android,works-with,java
angular,is-a,framework
angular,is-used-in-field,desktop
angular,is-used-in-field,mobile
angular,is-used-in-field,web-development
angular,provides-functionality,frontend
angular,works-with,javascript
anidb,has-property,non-profit
anidb,is-a,catalogue
anidb,is-a,database
anidb,is-a,forum
anidb,is-a,tracker
anidb,is-used-in-field,entertainment
animal-crossing,is-a,game
animal-crossing,is-used-in-field,entertainment
animal-crossing,provides-functionality,entertainment
animation,is-used-in-field,frontend
animation,is-used-in-field,graphics
anki,has-license,gnu-agpl-license
anki,has-license,gnu-gpl-license
anki,has-property,cross-platform
anki,has-property,foss
anki,has-property,open-source
anki,is-a,application
anki,is-used-in-field,education
anki,provides-functionality,education
ansible,has-license,gnu-gpl-license
ansible,has-property,open-source
ansible,is-a,tool
ansible,is-used-in-field,devops
ansible,is-used-in-field,software-development-process
ansible,provided-by,red-hat-software
ansible,provides-functionality,automation
ansible,provides-functionality,cicd
ansible,provides-functionality,configuration
ansible,provides-functionality,management
ansible,provides-functionality,monitoring
ansible,works-with,linux
ansible,works-with,python
ansible,works-with,unix
ansible,works-with,windows
antlr,is-a,tool
antlr,is-used-in-field,software-development
antlr,provides-functionality,parsing
antlr,works-with,java
apache-license,is-a,license
api,is-a,interface
api,provides-functionality,communication
apm,is-a,process
apm,is-used-in-field,software-development-process
apm,provides-functionality,management
apm,provides-functionality,monitoring
apple,is-a,company
archlinux,is-a,operating-system
archlinux,is-based-on,linux
arduino,is-a,company
arduino,is-a,organization
arduino,is-used-in-field,hardware
arduino,provides-product,hardware
arduino,works-with,cpp
asgi,is-based-on,wsgi
asgi,provides-functionality,asynchronous
asgi,works-with,python
aspnet,is-a,framework
aspnet,is-used-in-field,web-development
aspnet,provides-functionality,backend
aspnet,provides-functionality,frontend
aspnet,provides-functionality,website
aspnet,works-with,css
aspnet,works-with,html
aspnet,works-with,javascript
assemblyscript,is-a,compiler
assemblyscript,is-used-in-field,software-development
assemblyscript,works-with,typescript
atom,is-a,text-editor
atom,is-used-in-field,software-development
atom,provided-by,github
atom,works-with,coffeescript
atom,works-with,css
atom,works-with,html
atom,works-with,javascript
aurelia,is-a,framework
aurelia,is-used-in-field,desktop
aurelia,is-used-in-field,mobile
aurelia,is-used-in-field,web-development
aurelia,provides-functionality,component-based
aurelia,provides-functionality,frontend
aurelia,works-with,javascript
aurelia,works-with,typescript
auth0,is-a,service
auth0,is-used-in-field,mobile
auth0,is-used-in-field,web-development
auth0,provides-functionality,authentication
auth0,provides-functionality,security
avalonia,is-a,framework
avalonia,is-used-in-field,desktop
avalonia,is-used-in-field,mobile
avalonia,provides-functionality,frontend
avalonia,provides-functionality,user-experience
avalonia,provides-functionality,user-interface
avalonia,works-with,dotnet
awesome,is-a,artifact
awesomewm,is-a,tool
awesomewm,is-used-in-field,visualization
awesomewm,provides-functionality,management
awesomewm,works-with,c
awesomewm,works-with,x-window
aws,is-a,service
aws,is-used-in-field,cloud-computing
aws,provided-by,amazon
aws,provides-functionality,as-a-service
aws,provides-functionality,distribution
aws,provides-functionality,hosting
azure,is-a,service
azure,is-used-in-field,cloud-computing
azure,provided-by,microsoft
azure,provides-functionality,as-a-service
azure,provides-functionality,management
babel,is-a,compiler
babel,is-used-in-field,software-development
babel,works-with,javascript
babel,works-with,react
backbonejs,has-license,mit-license
backbonejs,has-property,lightweight
backbonejs,has-property,synchronized
backbonejs,is-a,library
backbonejs,is-based-on,mvc
backbonejs,is-used-in-field,mobile
backbonejs,is-used-in-field,web-development
backbonejs,provides-functionality,frontend
backbonejs,provides-functionality,single-page-webapp
backbonejs,works-with,javascript
backbonejs,works-with,react
backbonejs,works-with,rest
backend,is-used-in-field,web-development
backend,works-with,php
backend,works-with,python
backend,works-with,ruby
bash,is-a,cli
bash,works-with,linux
basic8,is-a,fantasy-console
basic8,is-used-in-field,game-development
bioinformatics,is-a,field
bioinformatics,is-used-in-field,ai
bioinformatics,is-used-in-field,scientific
bioinformatics,works-with,biology
bioinformatics,works-with,deep-learning
bioinformatics,works-with,machine-learning
bioinformatics,works-with,pattern-recognition
biological-expression-language,is-a,representation-language
biological-expression-language,is-used-in-field,bioinformatics
biological-expression-language,is-used-in-field,scientific
bitcoin,is-a,cryptocurrency
bitcoin,is-used-in-field,blockchain
bitcoin-cash,is-a,cryptocurrency
bitcoin-cash,is-a,digital-currency
bitcoin-cash,is-used-in-field,blockchain
blockchain,is-a,ledger
blockchain,is-used-in-field,smart-contract
blockchain,provides-functionality,decentralization
blockchain,works-with,cryptography
blocker,provides-functionality,blocking
boilerplate,is-a,template
boilerplate,provides-functionality,reuse
bootstrap,is-a,framework
bootstrap,is-used-in-field,mobile
bootstrap,is-used-in-field,web-development
bootstrap,provides-functionality,frontend
bootstrap,works-with,css
bootstrap,works-with,html
bootstrap,works-with,javascript
bosque,is-a,programming-language
bot,is-a,application
bot,is-used-in-field,mobile
bot,is-used-in-field,web
bot,provides-functionality,automation
bridgetown,is-a,framework
